Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Olahraga, Melukis atau menggambar , Menghadiri acara budaya atau edukasi",Self Wear
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Travelling, Olahraga",edukasi
Edukasi,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,"Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Seni,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Tulis kantor atau sekolah"
Sport & mainanan,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Melukis atau menggambar , Bermain musik, Travelling",Self Wear
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Seni,edukasi
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,"Alat Musik & kesenian, Kesehatan dan Kecantikan"
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Menulis (diari, blog, atau lainnya), Travelling",edukasi
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,Self Wear
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Bermain musik","Kesehatan dan Kecantikan, Buku fiksi (novel, komik, buku anak), Mainan"
"Mainan/Collectible item, Buku Anak",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,"Mainan, Kesehatan dan Kecantikan"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Travelling, Membaca buku atau majalah , Bermain musik","Buku non-fiksi (pengembangan diri, sejarah, agama), Buku fiksi (novel, komik, buku anak)"
"Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Self Wear
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Kesehatan dan Kecantikan"
Novel Fiksi,Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Alat Tulis kantor atau sekolah, Alat Musik & kesenian, Mainan"
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Seni,Self Wear
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Bermain musik, Melukis atau menggambar , Olahraga",edukasi
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Membaca buku atau majalah , Menulis (diari, blog, atau lainnya)","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
"Alat Olahraga, Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Aktivitas Rekreasional,"Mainan, Buku fiksi (novel, komik, buku anak), Alat Olahraga"
"Mainan/Collectible item, Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Toko Gramedia,"Menambah pengetahuan, Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Travelling, Menulis (diari, blog, atau lainnya)","Alat Olahraga, Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Bermain musik, Menulis (diari, blog, atau lainnya), Membaca buku atau majalah","Alat Tulis kantor atau sekolah, Alat Olahraga, Alat Musik & kesenian"
Alat Kantor/Sekolah,Toko buku independen lainnya,Menambah pengetahuan,"Membaca buku atau majalah , Bermain musik, Olahraga",Self Wear
Alat Seni,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah, Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,"Kesehatan dan Kecantikan, Mainan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi",Lifestyle,"Mainan, Alat Musik & kesenian"
Komik,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi",Literasi,"Alat Musik & kesenian, Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi",Lifestyle,Self Wear
"Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif",Toko Gramedia,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Olahraga, Travelling","Alat Olahraga, Alat Tulis kantor atau sekolah"
"Buku Anak, Alat Musik",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Belanja online/offline, Olahraga",edukasi
"Perlengkapan Seni/Kreatif, Mainan/Collectible item",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan",Seni,Alat Seni
"Novel Fiksi, Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko buku independen lainnya,"Hiburan atau relaksasi, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Travelling",edukasi
Alat Seni,Toko alat tulis lainnya,"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Lifestyle,"Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan, Alat Olahraga"
Alat Kantor/Sekolah,Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,"Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah"
"Alat Musik, Buku Anak, Mainan/Collectible item",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Daily needs
"Mainan/Collectible item, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi",Lifestyle,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian, Alat Tulis kantor atau sekolah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Hiburan atau relaksasi, Menambah pengetahuan",Lifestyle,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Seni/Kreatif, Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi",Lifestyle,"Alat Musik & kesenian, Alat Tulis kantor atau sekolah, Alat Olahraga"
"Alat Olahraga, Mainan/Collectible item, Alat Musik",Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Bermain game (offline/online), Membaca buku atau majalah",Daily needs
Alat Kantor/Sekolah,Aplikasi Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,"Alat Olahraga, Buku non-fiksi (pengembangan diri, sejarah, agama), Kesehatan dan Kecantikan"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi","Buku fiksi (novel, komik, buku anak), Mainan, Alat Musik & kesenian"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Bermain game (offline/online)",Alat Seni
Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Kado atau hadiah","Belanja online/offline, Bermain musik, Bermain game (offline/online)",edukasi
"Alat Olahraga, Mainan/Collectible item, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Bermain game (offline/online), Menghadiri acara budaya atau edukasi","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Mainan"
Sport & mainanan,Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Literasi,"Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
"Alat Musik, Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Melukis atau menggambar","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Alat Seni,Toko alat tulis lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas",Lifestyle,"Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah,"Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi, Bermain musik","Alat Musik & kesenian, Alat Tulis kantor atau sekolah, Mainan"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Travelling, Belanja online/offline",Self Wear
Edukasi,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)","Kesehatan dan Kecantikan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
Buku Non-Fiksi,Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Travelling","Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Menambah pengetahuan, Kado atau hadiah, Hiburan atau relaksasi",Aktivitas Rekreasional,"Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Olahraga, Jurnal/Perencana (Planner), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,"Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian, Mainan"
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Kado atau hadiah,Seni,"Buku fiksi (novel, komik, buku anak), Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Belanja online/offline, Bermain game (offline/online)",Self Wear
Sport & mainanan,Toko alat tulis lainnya,Hiburan atau relaksasi,"Bermain game (offline/online), Menghadiri acara budaya atau edukasi, Melukis atau menggambar","Mainan, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Toko buku independen lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Belanja online/offline",edukasi
"Perlengkapan Seni/Kreatif, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Bermain game (offline/online), Melukis atau menggambar , Menghadiri acara budaya atau edukasi","Buku Edukasi (Buku Teks, Latihan Soal, Kamus), Alat Musik & kesenian"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Travelling","Buku fiksi (novel, komik, buku anak), Kesehatan dan Kecantikan"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Belanja online/offline, Travelling","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama)"
Alat Kantor/Sekolah,Website Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,edukasi
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah",Literasi,"Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah , Menulis (diari, blog, atau lainnya), Bermain musik",edukasi
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi","Membaca buku atau majalah , Melukis atau menggambar , Bermain musik","Mainan, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
"Alat Musik, Jurnal/Perencana (Planner)",Website Gramedia.com,Hiburan atau relaksasi,"Olahraga, Melukis atau menggambar , Belanja online/offline","Alat Olahraga, Buku Edukasi (Buku Teks, Latihan Soal, Kamus)"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Toko alat tulis lainnya,"Kado atau hadiah, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Travelling, Olahraga","Alat Tulis kantor atau sekolah, Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak, Novel Fiksi",Website Gramedia.com,"Kado atau hadiah, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Travelling, Menulis (diari, blog, atau lainnya)","Mainan, Buku fiksi (novel, komik, buku anak), Alat Musik & kesenian"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,Menambah pengetahuan,"Belanja online/offline, Travelling","Kesehatan dan Kecantikan, Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Tulis kantor atau sekolah"
Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Olahraga, Menghadiri acara budaya atau edukasi","Alat Tulis kantor atau sekolah, Buku fiksi (novel, komik, buku anak)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,"Travelling, Membaca buku atau majalah , Menghadiri acara budaya atau edukasi","Alat Musik & kesenian, Buku fiksi (novel, komik, buku anak)"
Buku Anak,Aplikasi Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional,Self Wear
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Hiburan atau relaksasi,"Olahraga, Menghadiri acara budaya atau edukasi","Alat Tulis kantor atau sekolah, Alat Olahraga"
"Perlengkapan Seni/Kreatif, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Membaca buku atau majalah","Buku fiksi (novel, komik, buku anak), Buku non-fiksi (pengembangan diri, sejarah, agama)"
"Novel Fiksi, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,"Alat Musik & kesenian, Kesehatan dan Kecantikan, Alat Olahraga"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Musik",Website Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi","Bermain game (offline/online), Melukis atau menggambar , Bermain musik","Buku non-fiksi (pengembangan diri, sejarah, agama), Alat Musik & kesenian"
Alat Seni,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kado atau hadiah","Melukis atau menggambar , Bermain game (offline/online)","Kesehatan dan Kecantikan, Alat Tulis kantor atau sekolah"
