Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
Alat Kantor/Sekolah; Novel Fiksi,Website Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle,Self Wear,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
Alat Kantor/Sekolah; Novel Fiksi,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Literasi,Daily needs; Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi; Seni,Alat Seni,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju
Alat Kantor/Sekolah; Alat Seni,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Self Wear,Netral,Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Sport & mainanan,Toko Gramedia,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional; Lifestyle; Seni,Self Wear; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia.com,Hiburan atau relaksasi,Literasi,Alat Seni,Netral,Sangat Tidak Setuju,Setuju,Netral
Alat Kantor/Sekolah,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,Alat Seni; Self Wear; edukasi,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah,Toko buku independen lainnya,Kado atau hadiah,Lifestyle; Seni,Alat Seni,Tidak Setuju,Sangat Tidak Setuju,Netral,Setuju
Alat Kantor/Sekolah,Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni; edukasi,Setuju,Tidak Setuju,Setuju,Sangat Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Buku Non-Fiksi,Toko buku independen lainnya,Hiburan atau relaksasi; Kado atau hadiah; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear; edukasi,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Alat Kantor/Sekolah; Alat Seni; Buku Anak,Toko buku independen lainnya,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Lifestyle; Literasi,Daily needs; edukasi,Sangat Setuju,Setuju,Sangat Setuju,Tidak Setuju
Edukasi; Sport & mainanan,Toko Gramedia,Menambah pengetahuan,Aktivitas Rekreasional; Lifestyle; Seni,edukasi,Setuju,Sangat Tidak Setuju,Setuju,Netral
Alat Seni; Buku Non-Fiksi; Edukasi,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle,Daily needs; Self Wear,Sangat Setuju,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Seni,Self Wear,Sangat Tidak Setuju,Sangat Setuju,Netral,Netral
Alat Seni; Novel Fiksi; Sport & mainanan,Toko Gramedia,Kado atau hadiah,Lifestyle,Self Wear; edukasi,Netral,Netral,Netral,Netral
Alat Kantor/Sekolah; Buku Anak,Toko buku independen lainnya,Kado atau hadiah; Menambah pengetahuan,Literasi,Self Wear; edukasi,Netral,Netral,Setuju,Sangat Setuju
Alat Kantor/Sekolah,Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Alat Seni; Daily needs; edukasi,Netral,Netral,Setuju,Tidak Setuju
Novel Fiksi; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,Daily needs,Setuju,Netral,Tidak Setuju,Sangat Setuju
Alat Seni,Toko Gramedia,Kado atau hadiah; Menambah pengetahuan,Lifestyle,Alat Seni; edukasi,Netral,Netral,Tidak Setuju,Sangat Tidak Setuju
Buku Anak; Edukasi,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi; Seni,Self Wear; edukasi,Tidak Setuju,Sangat Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Seni,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Alat Kantor/Sekolah; Alat Seni,Aplikasi Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional; Lifestyle,Alat Seni; Daily needs; Self Wear,Tidak Setuju,Tidak Setuju,Netral,Netral
Alat Kantor/Sekolah; Komik; Sport & mainanan,Website Gramedia.com,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional,Self Wear,Sangat Setuju,Netral,Sangat Setuju,Setuju
Alat Kantor/Sekolah; Sport & mainanan,Toko Gramedia,Untuk mengekspresikan kreativitas,Seni,Self Wear,Sangat Tidak Setuju,Netral,Setuju,Tidak Setuju
Komik,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional,Self Wear; edukasi,Setuju,Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Komik,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,Alat Seni; Daily needs; Self Wear,Setuju,Tidak Setuju,Sangat Setuju,Setuju
Buku Non-Fiksi; Edukasi,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,Daily needs; edukasi,Netral,Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle,Self Wear,Setuju,Tidak Setuju,Netral,Sangat Setuju
Alat Kantor/Sekolah; Edukasi; Novel Fiksi,Toko alat tulis lainnya,Kado atau hadiah; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Self Wear,Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Seni; Buku Non-Fiksi,Toko buku independen lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle,Alat Seni; Daily needs; Self Wear,Tidak Setuju,Sangat Setuju,Netral,Setuju
Komik; Sport & mainanan,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,Literasi; Seni,Self Wear; edukasi,Setuju,Setuju,Sangat Setuju,Tidak Setuju
Komik,Toko buku independen lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Seni,Daily needs,Setuju,Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Seni; Edukasi,Toko buku independen lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Lifestyle; Seni,edukasi,Sangat Setuju,Netral,Sangat Tidak Setuju,Setuju
Komik; Sport & mainanan,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Alat Seni; Self Wear,Netral,Netral,Sangat Tidak Setuju,Tidak Setuju
Edukasi; Novel Fiksi,Toko alat tulis lainnya,Menambah pengetahuan,Aktivitas Rekreasional,Alat Seni; Daily needs; Self Wear,Netral,Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Seni; Buku Non-Fiksi,Website Gramedia.com,Kado atau hadiah,Aktivitas Rekreasional,Alat Seni; Self Wear,Sangat Tidak Setuju,Tidak Setuju,Netral,Netral
Alat Kantor/Sekolah,Toko alat tulis lainnya,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Lifestyle,Alat Seni; Self Wear,Netral,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Seni; Komik; Sport & mainanan,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Aktivitas Rekreasional; Lifestyle; Literasi,edukasi,Setuju,Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah; Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Self Wear; edukasi,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju
Alat Seni; Komik,Toko alat tulis lainnya,Hiburan atau relaksasi; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni; Self Wear; edukasi,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju
Alat Seni,Toko alat tulis lainnya,Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Seni,Self Wear,Netral,Netral,Tidak Setuju,Sangat Setuju
Buku Non-Fiksi; Edukasi; Sport & mainanan,Toko alat tulis lainnya,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional,edukasi,Netral,Setuju,Setuju,Netral
Alat Kantor/Sekolah; Buku Non-Fiksi,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,Daily needs; Self Wear; edukasi,Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
Komik,Website Gramedia.com,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle,Daily needs; Self Wear; edukasi,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni,Sangat Setuju,Netral,Netral,Sangat Setuju
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Toko alat tulis lainnya,"Hiburan atau relaksasi; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,Daily needs,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
Komik; Sport & mainanan,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Seni,Self Wear,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
Alat Kantor/Sekolah,Toko buku independen lainnya,Kado atau hadiah; Untuk mengekspresikan kreativitas,Lifestyle,Alat Seni; Daily needs; edukasi,Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Toko Gramedia,Menambah pengetahuan,Literasi,Daily needs; Self Wear,Sangat Setuju,Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Novel Fiksi,Toko Gramedia,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi,edukasi,Tidak Setuju,Sangat Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Seni,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi,edukasi,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Netral
Alat Seni; Buku Non-Fiksi,Website Gramedia.com,Menambah pengetahuan,Seni,Self Wear; edukasi,Setuju,Netral,Sangat Tidak Setuju,Setuju
Alat Seni; Buku Anak,Toko buku independen lainnya,"Menambah pengetahuan; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional,Alat Seni; Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
Alat Seni,Aplikasi Gramedia.com,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Literasi; Seni,Alat Seni; Daily needs,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Buku Anak; Buku Non-Fiksi; Komik,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi; Kado atau hadiah; Menambah pengetahuan,Literasi,Alat Seni; Daily needs; edukasi,Netral,Sangat Tidak Setuju,Tidak Setuju,Netral
Alat Kantor/Sekolah; Alat Seni; Sport & mainanan,Toko Gramedia,Kado atau hadiah,Seni,Alat Seni; Self Wear; edukasi,Tidak Setuju,Sangat Setuju,Netral,Netral
Buku Anak,Aplikasi Gramedia.com,Menambah pengetahuan,Lifestyle; Literasi,Daily needs; edukasi,Setuju,Setuju,Setuju,Tidak Setuju
Alat Seni; Novel Fiksi; Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Aktivitas Rekreasional,edukasi,Netral,Tidak Setuju,Sangat Setuju,Netral
Komik,Website Gramedia.com,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear,Tidak Setuju,Netral,Setuju,Tidak Setuju
Alat Kantor/Sekolah,Aplikasi Gramedia Digital (ebook),Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi,Self Wear,Netral,Tidak Setuju,Netral,Netral
Edukasi,Aplikasi Gramedia.com,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Seni,Daily needs; Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
Alat Kantor/Sekolah; Edukasi; Sport & mainanan,Website Gramedia.com,Untuk mengekspresikan kreativitas,Lifestyle; Literasi,Alat Seni; Daily needs; Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Tidak Setuju
Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Seni,Self Wear,Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Buku Anak; Komik; Sport & mainanan,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi,Self Wear; edukasi,Netral,Setuju,Setuju,Netral
Alat Kantor/Sekolah; Alat Seni,Aplikasi Gramedia.com,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Seni,Alat Seni; Daily needs; edukasi,Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
Alat Seni,Website Gramedia.com,Hiburan atau relaksasi; Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional,Daily needs; Self Wear,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju
Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi,Literasi; Seni,Self Wear,Sangat Setuju,Tidak Setuju,Tidak Setuju,Setuju
Edukasi; Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Kado atau hadiah,Aktivitas Rekreasional,Self Wear,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju
Buku Non-Fiksi; Edukasi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Alat Seni; Daily needs; Self Wear,Netral,Sangat Setuju,Setuju,Sangat Setuju
Alat Kantor/Sekolah,Toko buku independen lainnya,Hiburan atau relaksasi,Aktivitas Rekreasional; Lifestyle,edukasi,Sangat Setuju,Setuju,Setuju,Setuju
Buku Anak,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Daily needs; edukasi,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
Alat Seni; Sport & mainanan,Website Gramedia.com,Kado atau hadiah,Seni,Daily needs,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Alat Kantor/Sekolah; Alat Seni,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Literasi,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
Novel Fiksi,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi,Self Wear,Setuju,Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah; Novel Fiksi,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Lifestyle; Literasi,Daily needs; Self Wear; edukasi,Sangat Tidak Setuju,Sangat Setuju,Netral,Tidak Setuju
Sport & mainanan,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle; Literasi; Seni,Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Seni,Toko buku independen lainnya,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Literasi; Seni,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Netral,Setuju
Alat Kantor/Sekolah,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Literasi; Seni,Self Wear; edukasi,Sangat Setuju,Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Kantor/Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Literasi,Alat Seni; Self Wear,Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju
Edukasi,Aplikasi Gramedia.com,Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Seni,edukasi,Sangat Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
Novel Fiksi,Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Seni,Alat Seni; edukasi,Netral,Sangat Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Buku Non-Fiksi; Komik,Website Gramedia.com,"Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Lifestyle; Literasi; Seni,Alat Seni; Self Wear,Tidak Setuju,Netral,Netral,Sangat Tidak Setuju
Buku Non-Fiksi; Sport & mainanan,"Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah; Menambah pengetahuan,Aktivitas Rekreasional; Seni,Self Wear,Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Kantor/Sekolah; Alat Seni,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle; Literasi,Daily needs,Netral,Netral,Sangat Setuju,Setuju
Alat Kantor/Sekolah; Edukasi,"Marketplace (Shopee, Tokopedia, dll.)",Hiburan atau relaksasi; Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Seni,Alat Seni; edukasi,Sangat Tidak Setuju,Netral,Netral,Sangat Setuju
Alat Kantor/Sekolah; Buku Anak; Novel Fiksi,Toko buku independen lainnya,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Seni,Alat Seni; Self Wear,Setuju,Tidak Setuju,Netral,Netral
Buku Anak; Edukasi,Toko buku independen lainnya,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Literasi,Alat Seni; Self Wear; edukasi,Sangat Setuju,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia.com,"Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Literasi; Seni,Self Wear,Tidak Setuju,Netral,Netral,Sangat Tidak Setuju
Alat Kantor/Sekolah; Sport & mainanan,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas,Literasi,Alat Seni; edukasi,Sangat Setuju,Setuju,Setuju,Sangat Setuju
Alat Kantor/Sekolah; Buku Non-Fiksi; Sport & mainanan,Aplikasi Gramedia.com,Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Literasi,Self Wear; edukasi,Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Alat Kantor/Sekolah; Edukasi; Komik,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Literasi; Seni,Daily needs; Self Wear,Sangat Setuju,Sangat Setuju,Setuju,Setuju
Alat Kantor/Sekolah,Toko Gramedia,"Hiburan atau relaksasi; Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Aktivitas Rekreasional; Lifestyle,edukasi,Setuju,Setuju,Netral,Sangat Setuju
Edukasi,Aplikasi Gramedia.com,Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,Aktivitas Rekreasional; Literasi; Seni,Self Wear; edukasi,Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
Sport & mainanan,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri; Untuk mengekspresikan kreativitas",Aktivitas Rekreasional; Seni,Daily needs,Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Tidak Setuju
Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah,Aktivitas Rekreasional,edukasi,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju,Netral
Sport & mainanan,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Lifestyle; Literasi,Daily needs; edukasi,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju
Alat Kantor/Sekolah; Buku Anak,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Lifestyle; Literasi; Seni,edukasi,Sangat Setuju,Sangat Tidak Setuju,Setuju,Setuju
Komik,Toko alat tulis lainnya,Menambah pengetahuan,Literasi,Daily needs; edukasi,Sangat Setuju,Sangat Setuju,Tidak Setuju,Netral
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Menambah pengetahuan",Lifestyle; Literasi,edukasi,Netral,Netral,Tidak Setuju,Sangat Setuju
Sport & mainanan,Toko alat tulis lainnya,Kado atau hadiah; Menambah pengetahuan; Untuk mengekspresikan kreativitas,Aktivitas Rekreasional; Seni,Alat Seni; edukasi,Netral,Netral,Sangat Setuju,Sangat Setuju
