Produk sering beli,Saluran belanja,Motivasi utama pembelian
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Alat Musik, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak, Novel Fiksi",Toko buku independen lainnya,"Kado atau hadiah, Hiburan atau relaksasi"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko Gramedia,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Olahraga,"Toko Gramedia, Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya","Kado atau hadiah, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Alat Olahraga","Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Hiburan atau relaksasi"
Buku Anak,"Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Kado atau hadiah
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis","Toko buku independen lainnya, Toko alat tulis lainnya, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Perlengkapan Seni/Kreatif, Novel Fiksi","Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Novel Fiksi, Alat Musik",Toko buku independen lainnya,Kado atau hadiah
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Musik","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya",Kado atau hadiah
Perlengkapan Seni/Kreatif,"Website Gramedia.com, Aplikasi Gramedia Digital (ebook), Toko Gramedia","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Novel Fiksi,"Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item","Toko Gramedia, Toko alat tulis lainnya","Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga","Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,Hiburan atau relaksasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com, Website Gramedia.com","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Website Gramedia.com, Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Jurnal/Perencana (Planner)","Aplikasi Gramedia.com, Website Gramedia.com","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak",Toko Gramedia,Hiburan atau relaksasi
Buku Anak,"Toko Gramedia, Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
Novel Fiksi,"Aplikasi Gramedia Digital (ebook), Website Gramedia.com, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas"
Alat Musik,"Toko Gramedia, Toko buku independen lainnya, Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko buku independen lainnya, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
Alat Tulis Umum (Kantor/Sekolah),"Aplikasi Gramedia.com, Toko alat tulis lainnya","Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Jurnal/Perencana (Planner), Novel Fiksi, Alat Olahraga","Toko Gramedia, Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kado atau hadiah"
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah","Aplikasi Gramedia.com, Toko buku independen lainnya","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko Gramedia,"Kado atau hadiah, Untuk mengekspresikan kreativitas"
Jurnal/Perencana (Planner),Toko Gramedia,Menambah pengetahuan
"Jurnal/Perencana (Planner), Alat Olahraga, Mainan/Collectible item",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Alat Musik,"Website Gramedia.com, Aplikasi Gramedia.com, Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Novel Fiksi, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia.com","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Perlengkapan Seni/Kreatif, Buku Anak","Toko Gramedia, Aplikasi Gramedia.com, Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Novel Fiksi, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
"Komik/Novel Grafis, Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Toko alat tulis lainnya","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kado atau hadiah"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif","Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook)",Kado atau hadiah
Novel Fiksi,"Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif","Toko alat tulis lainnya, Website Gramedia.com, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko Gramedia, Website Gramedia.com, Toko alat tulis lainnya",Menambah pengetahuan
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)","Menambah pengetahuan, Kado atau hadiah"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Buku Anak","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook), Website Gramedia.com",Untuk mengekspresikan kreativitas
Novel Fiksi,"Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi"
Novel Fiksi,Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi"
"Buku Anak, Jurnal/Perencana (Planner)","Toko alat tulis lainnya, Toko buku independen lainnya, Website Gramedia.com",Menambah pengetahuan
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)","Aplikasi Gramedia Digital (ebook), Toko Gramedia","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah"
"Novel Fiksi, Mainan/Collectible item","Aplikasi Gramedia Digital (ebook), Toko Gramedia","Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kado atau hadiah"
Buku Anak,Aplikasi Gramedia.com,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri"
"Novel Fiksi, Mainan/Collectible item","Aplikasi Gramedia.com, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Toko alat tulis lainnya","Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Alat Musik, Alat Olahraga",Toko buku independen lainnya,Menambah pengetahuan
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik, Perlengkapan Seni/Kreatif","Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas"
Alat Tulis Umum (Kantor/Sekolah),"Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia","Untuk mengekspresikan kreativitas, Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)","Toko buku independen lainnya, Toko alat tulis lainnya","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri"
Alat Musik,"Toko buku independen lainnya, Toko alat tulis lainnya",Sebagai bentuk 'self-reward' atau apresiasi diri
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner), Buku Anak","Aplikasi Gramedia Digital (ebook), Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga","Toko Gramedia, Toko alat tulis lainnya, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Mainan/Collectible item, Buku Anak","Toko alat tulis lainnya, Aplikasi Gramedia Digital (ebook), Toko buku independen lainnya","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)","Aplikasi Gramedia.com, Website Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi","Aplikasi Gramedia.com, Toko Gramedia","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah, Alat Musik","Website Gramedia.com, Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook)",Kado atau hadiah
"Mainan/Collectible item, Novel Fiksi","Toko alat tulis lainnya, Website Gramedia.com","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
Mainan/Collectible item,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Hiburan atau relaksasi"
"Alat Musik, Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)","Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi"
"Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Novel Fiksi","Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Untuk mengekspresikan kreativitas, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Perlengkapan Kantor atau Sekolah,"Aplikasi Gramedia.com, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko buku independen lainnya, Toko alat tulis lainnya",Menambah pengetahuan
Komik/Novel Grafis,Toko Gramedia,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Perlengkapan Seni/Kreatif, Alat Olahraga, Alat Musik","Aplikasi Gramedia Digital (ebook), Toko Gramedia","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Toko buku independen lainnya",Untuk mengekspresikan kreativitas
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.), Toko buku independen lainnya, Aplikasi Gramedia.com","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Hiburan atau relaksasi, Untuk mengekspresikan kreativitas"
Jurnal/Perencana (Planner),"Aplikasi Gramedia.com, Toko Gramedia","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah"
"Alat Musik, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,Kado atau hadiah
"Buku Anak, Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Aplikasi Gramedia.com, Marketplace (Shopee, Tokopedia, dll.)","Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.), Aplikasi Gramedia Digital (ebook), Aplikasi Gramedia.com","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas"
Alat Tulis Umum (Kantor/Sekolah),"Aplikasi Gramedia Digital (ebook), Toko Gramedia, Toko buku independen lainnya",Kado atau hadiah
"Alat Musik, Jurnal/Perencana (Planner), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Website Gramedia.com, Toko Gramedia, Aplikasi Gramedia.com",Menambah pengetahuan
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah)","Toko alat tulis lainnya, Toko buku independen lainnya","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.), Toko alat tulis lainnya",Kado atau hadiah
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)","Toko buku independen lainnya, Toko Gramedia","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Menambah pengetahuan, Untuk mengekspresikan kreativitas"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Website Gramedia.com, Toko buku independen lainnya","Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)","Toko buku independen lainnya, Aplikasi Gramedia Digital (ebook), Toko Gramedia","Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.), Website Gramedia.com","Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
"Mainan/Collectible item, Perlengkapan Seni/Kreatif",Toko Gramedia,Kado atau hadiah
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner), Mainan/Collectible item","Website Gramedia.com, Aplikasi Gramedia Digital (ebook)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Anak, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Alat Olahraga, Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Toko Gramedia, Aplikasi Gramedia Digital (ebook)",Untuk mengekspresikan kreativitas
"Jurnal/Perencana (Planner), Komik/Novel Grafis",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan"
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.), Toko Gramedia, Aplikasi Gramedia Digital (ebook)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Hiburan atau relaksasi"
Komik/Novel Grafis,"Toko buku independen lainnya, Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan
"Novel Fiksi, Perlengkapan Seni/Kreatif","Website Gramedia.com, Aplikasi Gramedia Digital (ebook), Toko Gramedia",Menambah pengetahuan
"Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)","Toko buku independen lainnya, Toko Gramedia, Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Toko alat tulis lainnya, Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kado atau hadiah"
