Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
Mainan/Collectible item,Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya)"
"Alat Musik, Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Melukis atau menggambar "
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas",Belanja online/offline
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Toko alat tulis lainnya,Kado atau hadiah,"Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi, Bermain musik"
"Alat Tulis Umum (Kantor/Sekolah), Komik/Novel Grafis",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Travelling, Belanja online/offline"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Menulis (diari, blog, atau lainnya), Travelling"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Menambah pengetahuan, Kado atau hadiah, Hiburan atau relaksasi",Olahraga
"Alat Olahraga, Jurnal/Perencana (Planner), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Menghadiri acara budaya atau edukasi
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,Kado atau hadiah,Bermain musik
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Belanja online/offline, Bermain game (offline/online)"
Alat Olahraga,Toko alat tulis lainnya,Hiburan atau relaksasi,"Bermain game (offline/online), Menghadiri acara budaya atau edukasi, Melukis atau menggambar "
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Toko buku independen lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Belanja online/offline"
"Perlengkapan Seni/Kreatif, Mainan/Collectible item","Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,"Bermain game (offline/online), Melukis atau menggambar , Menghadiri acara budaya atau edukasi"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Travelling"
"Alat Olahraga, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Belanja online/offline, Travelling"
Jurnal/Perencana (Planner),Website Gramedia.com,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Melukis atau menggambar 
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kado atau hadiah","Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif",Website Gramedia.com,Untuk mengekspresikan kreativitas,"Membaca buku atau majalah , Menulis (diari, blog, atau lainnya), Bermain musik"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi","Membaca buku atau majalah , Melukis atau menggambar , Bermain musik"
"Alat Musik, Jurnal/Perencana (Planner)",Website Gramedia.com,Hiburan atau relaksasi,"Olahraga, Melukis atau menggambar , Belanja online/offline"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Toko alat tulis lainnya,"Kado atau hadiah, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Travelling, Olahraga"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak, Novel Fiksi",Website Gramedia.com,"Kado atau hadiah, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline, Travelling, Menulis (diari, blog, atau lainnya)"
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,Menambah pengetahuan,"Belanja online/offline, Travelling"
Alat Olahraga,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Olahraga, Menghadiri acara budaya atau edukasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,"Travelling, Membaca buku atau majalah , Menghadiri acara budaya atau edukasi"
Buku Anak,Aplikasi Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Menghadiri acara budaya atau edukasi
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,Hiburan atau relaksasi,"Olahraga, Menghadiri acara budaya atau edukasi"
"Perlengkapan Seni/Kreatif, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline, Membaca buku atau majalah "
"Novel Fiksi, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar 
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis, Alat Musik",Website Gramedia.com,"Kado atau hadiah, Hiburan atau relaksasi","Bermain game (offline/online), Melukis atau menggambar , Bermain musik"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Kado atau hadiah","Melukis atau menggambar , Bermain game (offline/online)"
Novel Fiksi,Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Belanja online/offline, Travelling"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Olahraga",Aplikasi Gramedia.com,"Kado atau hadiah, Menambah pengetahuan, Hiburan atau relaksasi","Travelling, Belanja online/offline, Bermain musik"
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Melukis atau menggambar , Membaca buku atau majalah , Bermain musik"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia.com,Menambah pengetahuan,"Belanja online/offline, Menghadiri acara budaya atau edukasi"
"Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga, Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,Kado atau hadiah,"Olahraga, Bermain game (offline/online), Melukis atau menggambar "
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi",Membaca buku atau majalah 
Buku Anak,Toko buku independen lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah , Melukis atau menggambar , Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Membaca buku atau majalah "
"Alat Olahraga, Perlengkapan Kantor atau Sekolah, Jurnal/Perencana (Planner)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan, Untuk mengekspresikan kreativitas","Olahraga, Menghadiri acara budaya atau edukasi, Membaca buku atau majalah "
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Anak",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Olahraga, Travelling"
Buku Anak,Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Membaca buku atau majalah "
Novel Fiksi,Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Menambah pengetahuan","Bermain musik, Travelling, Menulis (diari, blog, atau lainnya)"
Alat Musik,Aplikasi Gramedia Digital (ebook),"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Hiburan atau relaksasi","Bermain game (offline/online), Menulis (diari, blog, atau lainnya), Olahraga"
"Perlengkapan Kantor atau Sekolah, Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online)
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,"Kado atau hadiah, Untuk mengekspresikan kreativitas",Olahraga
"Jurnal/Perencana (Planner), Novel Fiksi, Alat Olahraga",Toko alat tulis lainnya,"Kado atau hadiah, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah 
"Komik/Novel Grafis, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Membaca buku atau majalah , Bermain musik"
"Novel Fiksi, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Travelling, Melukis atau menggambar "
"Komik/Novel Grafis, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah , Olahraga, Bermain musik"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Website Gramedia.com,Menambah pengetahuan,"Menghadiri acara budaya atau edukasi, Olahraga, Bermain game (offline/online)"
Jurnal/Perencana (Planner),Website Gramedia.com,"Untuk mengekspresikan kreativitas, Menambah pengetahuan, Kado atau hadiah",Belanja online/offline
"Jurnal/Perencana (Planner), Alat Olahraga, Mainan/Collectible item",Website Gramedia.com,"Menambah pengetahuan, Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain musik
Alat Musik,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Belanja online/offline, Olahraga"
"Novel Fiksi, Mainan/Collectible item",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online)
"Perlengkapan Seni/Kreatif, Buku Anak",Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi","Menghadiri acara budaya atau edukasi, Bermain musik"
"Novel Fiksi, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Website Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah","Menulis (diari, blog, atau lainnya), Bermain musik"
"Komik/Novel Grafis, Mainan/Collectible item",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Bermain game (offline/online), Membaca buku atau majalah "
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah, Perlengkapan Seni/Kreatif",Toko alat tulis lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menghadiri acara budaya atau edukasi, Bermain musik"
Novel Fiksi,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Travelling, Bermain game (offline/online)"
"Jurnal/Perencana (Planner), Perlengkapan Seni/Kreatif",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online), Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling, Belanja online/offline, Bermain musik"
"Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online)
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi, Buku Anak",Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Menghadiri acara budaya atau edukasi, Olahraga"
Novel Fiksi,Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Olahraga, Bermain musik, Belanja online/offline"
Novel Fiksi,Toko buku independen lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Bermain game (offline/online), Belanja online/offline"
"Buku Anak, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Travelling, Melukis atau menggambar , Membaca buku atau majalah "
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,"Travelling, Melukis atau menggambar , Bermain game (offline/online)"
"Novel Fiksi, Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),Kado atau hadiah,"Bermain musik, Belanja online/offline"
Buku Anak,Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Menghadiri acara budaya atau edukasi"
"Novel Fiksi, Mainan/Collectible item",Toko buku independen lainnya,"Kado atau hadiah, Untuk mengekspresikan kreativitas, Menambah pengetahuan","Membaca buku atau majalah , Bermain musik, Melukis atau menggambar "
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar , Bermain musik"
"Alat Musik, Alat Olahraga",Toko alat tulis lainnya,"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi",Bermain game (offline/online)
"Alat Tulis Umum (Kantor/Sekolah), Alat Musik, Perlengkapan Seni/Kreatif",Toko Gramedia,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Olahraga"
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Menambah pengetahuan,Bermain musik
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online), Travelling"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Toko buku independen lainnya,Kado atau hadiah,"Melukis atau menggambar , Bermain game (offline/online), Olahraga"
Alat Musik,Aplikasi Gramedia.com,Untuk mengekspresikan kreativitas,"Bermain musik, Menghadiri acara budaya atau edukasi, Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Jurnal/Perencana (Planner), Buku Anak",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah",Melukis atau menggambar 
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Aplikasi Gramedia.com,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah 
"Mainan/Collectible item, Buku Anak",Aplikasi Gramedia Digital (ebook),Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online)
"Alat Tulis Umum (Kantor/Sekolah), Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,"Belanja online/offline, Menghadiri acara budaya atau edukasi"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Membaca buku atau majalah , Bermain musik"
"Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online)
"Perlengkapan Seni/Kreatif, Perlengkapan Kantor atau Sekolah, Alat Musik",Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah 
"Mainan/Collectible item, Novel Fiksi",Toko alat tulis lainnya,Menambah pengetahuan,"Bermain game (offline/online), Melukis atau menggambar "
Mainan/Collectible item,Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi","Membaca buku atau majalah , Belanja online/offline, Menghadiri acara budaya atau edukasi"
